GP Model,Other Model,Statistic,P-value,Corrected P-value,Significant
GP,Static,193.5,0.4134859544213514,1.0,No
GP,DT,45.0,8.961932470006986e-05,0.001971625143401537,Yes
GP,DT_Embed,174.0,0.2233530288240445,1.0,No
GP,LR,57.0,0.00029013442641318997,0.006382957381090179,Yes
GP,LR_Embed,78.0,0.001300485986494765,0.02861069170288483,Yes
GP,RF,169.5,0.19071736946522821,1.0,No
GP,RF_Embed,168.0,0.18005363907583638,1.0,No
GP,SVM,78.0,0.001300485986494765,0.02861069170288483,Yes
GP,SVM_Embed,22.5,1.3294722762606463e-05,0.0002924839007773422,Yes
GP,NN,78.0,0.0013111688318684339,0.028845714301105545,Yes
GP,NN_Embed,57.0,0.0002673965668954532,0.0058827244716999705,Yes
GP_Embed,Static,190.5,0.3795496025719577,1.0,No
GP_Embed,DT,81.0,0.0016264265437570108,0.03578138396265424,Yes
GP_Embed,DT_Embed,177.0,0.2480018477825111,1.0,No
GP_Embed,LR,99.0,0.005490805316888748,0.12079771697155246,No
GP_Embed,LR_Embed,145.5,0.06525368003464803,1.0,No
GP_Embed,RF,222.0,0.8272455762002531,1.0,No
GP_Embed,RF_Embed,202.5,0.5338294217441396,1.0,No
GP_Embed,SVM,145.5,0.06525368003464803,1.0,No
GP_Embed,SVM_Embed,111.0,0.010902952379935781,0.23986495235858718,No
GP_Embed,NN,145.5,0.06586520641133276,1.0,No
GP_Embed,NN_Embed,85.5,0.001840031216569242,0.04048068676452332,Yes
