GP Model,Other Model,Statistic,P-value,Corrected P-value,Significant
GP,Static,481.5,0.6224637247434035,1.0,No
GP,DT,733.5,9.179352570803378e-06,0.00020194575655767432,Yes
GP,DT_Embed,517.5,0.28093043764897674,1.0,No
GP,LR,720.0,2.5750198452391546e-05,0.000566504365952614,Yes
GP,LR_Embed,684.0,0.00016806342271625797,0.0036973952997576753,Yes
GP,RF,517.5,0.29729228598569235,1.0,No
GP,RF_Embed,513.0,0.32523276396516976,1.0,No
GP,SVM,684.0,0.00016806342271625797,0.0036973952997576753,Yes
GP,SVM_Embed,724.5,1.3851585174807162e-05,0.00030473487384575755,Yes
GP,NN,693.0,0.00011343235705405345,0.0024955118551891757,Yes
GP,NN_Embed,733.5,9.099941648474534e-06,0.00020019871626643975,Yes
GP_Embed,Static,342.0,0.07827430957383175,1.0,No
GP_Embed,DT,630.0,0.003605379598833212,0.07931835117433066,No
GP_Embed,DT_Embed,373.5,0.19963428758520707,1.0,No
GP_Embed,LR,621.0,0.005437196966644848,0.11961833326618666,No
GP_Embed,LR_Embed,558.0,0.07005707865498868,1.0,No
GP_Embed,RF,405.0,0.48805952120283314,1.0,No
GP_Embed,RF_Embed,382.5,0.28114415536834103,1.0,No
GP_Embed,SVM,558.0,0.07005707865498868,1.0,No
GP_Embed,SVM_Embed,612.0,0.00798710307573209,0.17571626766610599,No
GP_Embed,NN,571.5,0.04414345280988267,0.9711559618174187,No
GP_Embed,NN_Embed,625.5,0.0044880902851874354,0.09873798627412358,No
