Model,Mean Accuracy,Std Dev Accuracy
GP,0.8200000000000002,0.14239333576037017
GP_Embed,0.7200000000000002,0.1349329335326411
Static,0.8000000000000002,0.15756771943166706
DT,0.6000000000000001,0.18194353045893683
DT_Embed,0.78,0.14239333576037017
LR,0.5399999999999999,0.2736723437326796
LR_Embed,0.6800000000000003,0.09965457582448803
RF,0.7600000000000001,0.21908902300206645
RF_Embed,0.78,0.1689725543925138
SVM,0.6800000000000003,0.09965457582448803
SVM_Embed,0.6400000000000002,0.12205143065174591
NN,0.6600000000000001,0.13025174563659142
NN_Embed,0.62,0.1423933357603702
